country,location,property_type,apartment_living_area,apartment_rooms,apartment_bedrooms,bedroom_ratio,apartment_bathrooms,building_total_floors,apartment_floor,building_construction_year,price_in_USD
others,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",apartment,43.90909090909091,1,1,0.6666666666666666,0,16.0,14.0,2023.0,91509.0
others,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",apartment,33.09090909090909,2,1,0.6666666666666666,1,25.0,8.0,2023.0,125000.0
others,"Tashkent, Yashnabad District, Uzbekistan",others,61.09090909090909,4,3,0.6666666666666666,1,8.0,1.0,2023.0,115000.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,27.363636363636363,2,1,0.6666666666666666,1,5.0,2.0,2021.0,298905.0
Turkey,"Mediterranean Region, Antalya, Turkey",apartment,75.0,3,2,0.6666666666666666,1,5.0,4.0,2014.0,249993.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,175.0,6,4,0.6666666666666666,2,4.0,4.0,2023.0,320147.0
Turkey,"Marmara Region, Istanbul, Turkey",apartment,120.9090909090909,1,0,0.6666666666666666,4,5.0,4.0,2023.0,300000.0
Turkey,"Marmara Region, Istanbul, Turkey",apartment,44.54545454545455,2,1,0.6666666666666666,1,14.0,3.0,2025.0,241298.0
Turkey,"Yokuslu, Southeastern Anatolia Region, Dicle, Turkey",apartment,44.54545454545455,3,2,0.6666666666666666,1,4.0,4.0,2023.0,178028.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,70.0,3,2,0.6666666666666666,1,3.0,3.0,2023.0,158751.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,38.81818181818182,3,2,1.0,1,4.0,2.0,2020.0,216514.0
Montenegro,"Przno, Sveti Stefan, Budva Municipality, Montenegro",apartment,47.09090909090909,1,1,1.0,0,3.0,3.0,2020.0,271732.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,43.27272727272727,2,2,1.0,0,3.0,3.0,2020.0,271732.0
Montenegro,"Bar, Bar Municipality, Montenegro",apartment,159.0909090909091,2,2,1.0,0,3.0,3.0,2020.0,282601.0
Montenegro,"Kolašin Municipality, Montenegro",apartment,38.18181818181818,2,1,1.0,1,3.0,3.0,2020.0,308748.0
Montenegro,"Prcanj, Kotor Municipality, Montenegro",apartment,61.72727272727273,3,0,1.0,3,3.0,3.0,2020.0,255739.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,49.63636363636363,2,1,0.6666666666666666,1,3.0,3.0,2020.0,285862.0
others,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",apartment,27.363636363636363,1,0,0.6666666666666666,1,9.0,3.0,2024.0,92767.0
others,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",apartment,48.36363636363636,3,2,0.6666666666666666,1,16.0,4.0,2023.0,102397.0
Turkey,"Akarca, Central Anatolia Region, Turkey",apartment,76.36363636363636,3,2,0.6666666666666666,1,9.0,7.0,2023.0,274993.0
Turkey,"Marmara Region, Turkey",apartment,44.54545454545455,2,1,0.6666666666666666,1,5.0,4.0,2023.0,321900.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,117.72727272727272,5,3,0.6666666666666666,2,3.0,3.0,2023.0,291043.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,82.0,3,1,0.6666666666666666,2,4.0,4.0,2022.0,288036.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,76.36363636363636,3,2,0.6666666666666666,1,4.0,4.0,2023.0,227013.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,75.0,3,2,0.6666666666666666,1,4.0,4.0,2020.0,248071.0
Montenegro,Montenegro,apartment,50.27272727272727,2,2,1.0,0,4.0,2.0,2020.0,211951.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,47.72727272727273,3,2,0.6666666666666666,1,1.0,1.0,2023.0,178330.0
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,39.45454545454545,2,1,0.6666666666666666,1,4.0,2.0,2020.0,188691.0
Montenegro,"Morinj, Kotor Municipality, Montenegro",apartment,56.63636363636363,2,0,1.0,2,3.0,3.0,2020.0,286623.0
Montenegro,"Bar, Bar Municipality, Montenegro",apartment,124.72727272727272,4,3,0.6666666666666666,1,3.0,3.0,2020.0,315209.0
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,50.27272727272727,1,0,1.0,1,3.0,3.0,2015.0,249993.0
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,64.27272727272727,4,2,1.0,2,6.0,5.0,2020.0,286881.0
others,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",apartment,27.363636363636363,1,0,0.6666666666666666,1,7.0,4.0,2024.0,92767.0
Montenegro,"Dobrota, Kotor Municipality, Montenegro",apartment,48.36363636363636,2,1,1.0,1,4.0,2.0,2020.0,244559.0
others,"Tashkent, Chilanzar District, Uzbekistan",apartment,44.0,2,1,0.6666666666666666,1,11.0,8.0,2025.0,90021.0
others,"Tashkent, Uzbekistan",apartment,44.54545454545455,2,0,0.6666666666666666,2,8.0,4.0,2023.0,115000.0
others,"Tashkent, Chilanzar District, Uzbekistan",apartment,41.36363636363636,2,1,0.6666666666666666,1,9.0,5.0,2023.0,120000.0
Turkey,"Mediterranean Region, Alanya, Turkey",apartment,82.72727272727272,1,0,0.6666666666666666,2,9.0,8.0,2014.0,294511.0
Turkey,"Sancaktepe, Marmara Region, Turkey",apartment,72.54545454545455,3,2,0.6666666666666666,1,12.0,4.0,2024.0,253254.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",penthouse,110.0,3,1,0.75,2,6.0,4.0,2024.0,276080.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,61.72727272727273,3,2,0.6666666666666666,1,4.0,3.0,2023.0,244559.0
Turkey,"Marmara Region, Turkey",apartment,49.0,2,1,0.6666666666666666,1,15.0,4.0,2025.0,266297.0
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",apartment,44.54545454545455,2,1,0.6666666666666666,1,6.0,6.0,2023.0,227013.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,78.0,2,1,1.0,1,4.0,2.0,2020.0,196257.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,90.0,2,2,1.0,0,4.0,2.0,2020.0,199995.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,48.36363636363636,2,1,1.0,1,4.0,2.0,2015.0,183691.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,46.45454545454545,3,2,1.0,1,3.0,5.0,2020.0,295310.0
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,50.0,2,0,1.0,2,7.0,4.0,2023.0,292221.0
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,53.45454545454545,3,2,1.0,1,3.0,6.0,2020.0,322605.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,92.0,2,2,1.0,0,3.0,3.0,2020.0,270645.0
others,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",apartment,51.54545454545455,3,1,0.6666666666666666,2,12.0,6.0,2022.0,86631.0
Montenegro,Montenegro,apartment,65.54545454545455,3,3,1.0,0,3.0,3.0,2020.0,260863.0
others,"Tashkent, Yashnabad District, Uzbekistan",apartment,39.45454545454545,2,1,0.6666666666666666,1,16.0,11.0,2022.0,84158.0
others,"Tashkent, Yashnabad District, Uzbekistan",apartment,34.36363636363636,2,2,0.6666666666666666,0,6.0,1.0,2023.0,111844.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,136.8181818181818,4,3,0.6666666666666666,1,4.0,4.0,2023.0,290687.0
Turkey,"Uemraniye, Marmara Region, Turkey",apartment,61.0,3,2,0.6666666666666666,1,16.0,4.0,2024.0,296731.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,70.63636363636364,4,3,0.6666666666666666,1,1.0,1.0,2023.0,275168.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,50.27272727272727,3,2,0.6666666666666666,1,1.0,1.0,2023.0,238655.0
Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",apartment,61.72727272727273,2,2,0.6666666666666666,0,5.0,3.0,2023.0,235863.0
